Name;Description;RecipeCategory;Calories;FatContent;SaturatedFatContent;CholesterolContent;SodiumContent;CarbohydrateContent;FiberContent;SugarContent;ProteinContent
Tangy Marinated Yellow Squash (No Cooking);Make and share this Tangy Marinated Yellow Squash (No Cooking) recipe from Food.com.;Vegetable;359.6;18.9;2.5;0.0;612.3;46.7;3.0;43.5;3.0
Secret Salsa;I rescued this salsa recipe by adopting it from the recipezaar account, and plan to nurse it back to health when i get the chance :)  I think with a bit of tweaking, this recipe could be really good!;Sauces;96.5;5.2;0.7;0.0;343.7;12.5;3.4;6.4;2.4
Mashed Sweet Potato Pie;Make and share this Mashed Sweet Potato Pie recipe from Food.com.;Dessert;435.2;29.9;15.6;116.4;399.9;37.9;1.9;20.4;5.0
Potatoes Tapas in Garlic Mayonnaise (Potatoes Aioli);"&quot;Tapas, The Little Dishes of Spain&quot; By Penelope Cases Alfred A. Knopf 1986  This book contains more than 200 recipes for tapas. The word &quot;tapa&quot; in  Spanish means top or cover( there are other meanings) Spain has many bars  one for every 120 persons. They are usually small and run by families.  Coffee, water, soft drinks and liquor. They serve food also. They have  the time and ingredients for these small dishes. In the early days tapas  were served on small dishes placed as a cover over drinks. The tapas were  small and sometimes they were free or sold for a small price. Today the  dishes are larger and expensive. (4) recipes of the most commonly found tapas all over Spain";Potato;184.2;9.9;1.5;7.6;215.4;22.8;2.0;2.6;2.2
Roasted Tomato and Mint Salsa;Make and share this Roasted Tomato and Mint Salsa recipe from Food.com.;Sauces;154.8;13.9;1.9;0.0;62.4;8.0;2.5;4.3;1.7
Raspberry Tapioca With Vanilla Sauce;Make and share this Raspberry Tapioca With Vanilla Sauce recipe from Food.com.;Dessert;1404.2;25.4;14.4;245.7;805.5;276.6;12.7;208.5;23.2
Spaetzle - Basic Recipe - Art Culinaire Issue;Make and share this Spaetzle - Basic Recipe - Art Culinaire Issue recipe from Food.com.;German;227.0;4.1;1.5;110.0;654.9;37.5;1.3;0.3;9.0
Home-Style Meatballs (Albondigas Caseras);"The word &quot;tapa&quot; in  Spanish means top or cover (there are other meanings) Spain has many bars - one for every 120 persons. They are usually small and run by families.  Coffee, water, soft drinks and liquor. They serve food also. They have the time and ingredients for these small dishes. In the early days tapas  were served on small dishes placed as a cover over drinks. The tapas were  small and sometimes they were free or sold for a small price. Today the  dishes are larger and expensive. (4) recipes of the most commonly found  tapas all over Spain.";Meat;3702.5;268.9;97.0;1159.1;6523.8;88.8;9.6;17.5;200.2
Banana Orange Ice Cream;Make and share this Banana Orange Ice Cream recipe from Food.com.;Frozen Desserts;728.9;44.7;27.6;163.0;144.4;84.6;4.3;63.0;4.6
Kahlua;Make and share this Kahlua recipe from Food.com.;Beverages;1484.0;0.1;0.0;0.0;17.9;220.3;0.0;215.7;1.3
Apple Crisp;Make and share this Apple Crisp recipe from Food.com.;Dessert;264.8;12.3;7.5;56.9;354.2;37.1;0.4;25.1;2.5
Apple Crisp II;Make and share this Apple Crisp II recipe from Food.com.;Dessert;218.8;9.3;4.6;18.3;92.7;34.2;2.8;23.2;2.0
Fruit-Filled Acorn Squash;Make and share this Fruit-Filled Acorn Squash recipe from Food.com.;Fruit;242.4;2.6;0.2;0.0;109.5;57.9;6.0;27.0;3.9
Killer Kahlua;Make and share this Killer Kahlua recipe from Food.com.;Beverages;1751.0;0.2;0.1;0.0;31.9;286.3;0.0;268.6;5.1
Baked Zucchini Frittatas;Make and share this Baked Zucchini Frittatas recipe from Food.com.;Breakfast;200.2;12.4;6.4;27.8;620.4;8.1;1.6;4.8;14.8
Fat-Free Fettuccine Alfredo;Make and share this Fat-Free Fettuccine Alfredo recipe from Food.com.;European;361.4;4.1;1.3;67.8;253.5;61.8;3.3;5.2;19.4
Lemon Chicken;Make and share this Lemon Chicken recipe from Food.com.;Chicken Breast;232.5;3.4;0.7;75.5;140.4;23.4;1.9;8.0;27.2
Hawaiian Ham Salad;Make and share this Hawaiian Ham Salad recipe from Food.com.;Pineapple;166.4;11.3;1.6;3.8;246.2;15.8;2.1;10.0;3.0
Zucchini Frittatas II;Make and share this Zucchini Frittatas II recipe from Food.com.;Breakfast;106.0;5.1;0.8;0.0;477.9;9.1;2.3;5.2;7.2
Mom's First Place Turkey Fruit Salad;Make and share this Mom's First Place Turkey Fruit Salad recipe from Food.com.;Pineapple;140.6;6.1;0.5;0.0;4.0;23.2;2.3;20.2;1.5
Jarrett House Vinegar Pie;From an old southern cookbook. Vinegar pies were the alternative to lemon pies when lemons weren't in season.;Pie;400.0;20.8;9.7;100.2;245.6;49.6;0.9;37.8;4.1
Vinegar Pie;Make and share this Vinegar Pie recipe from Food.com.;Pie;178.2;3.3;1.5;73.6;42.3;34.6;0.2;31.4;2.8
Ham and Cheese Pockets;Make and share this Ham and Cheese Pockets recipe from Food.com.;Lunch/Snacks;746.5;62.3;10.1;54.4;1623.5;46.6;1.0;11.5;4.9
Super Sandwich;Make and share this Super Sandwich recipe from Food.com.;Lunch/Snacks;638.8;29.8;14.1;90.3;1744.5;56.4;3.9;3.2;35.6
Tiramisu;Make and share this Tiramisu recipe from Food.com.;Dessert;678.6;32.3;17.5;312.5;291.6;76.5;1.4;47.2;11.7
Hazelnut Shortbread Cookies;Make and share this Hazelnut Shortbread Cookies recipe from Food.com.;Dessert;111.5;7.5;3.4;13.6;46.4;10.4;0.6;4.6;1.3
Pecan Shortbread;Make and share this Pecan Shortbread recipe from Food.com.;Dessert;113.2;6.3;3.3;13.6;39.5;13.6;0.4;7.5;1.0
Tiramisu - Balducci's in New York City;This is an adopted recipe. I shall be trying it out and then post any additional information if needs be. If you are going to give any or no stars, please at least give the reason why so that you can help me improve the recipe. Thank you.;Dessert;331.3;9.1;3.1;372.1;147.6;40.5;0.4;24.9;11.1
Sweet Potato Pecan Pie;Make and share this Sweet Potato Pecan Pie recipe from Food.com.;Pie;590.0;30.4;10.3;83.5;405.0;73.5;4.2;45.9;9.2
Yellow Squash Frittata;Make and share this Yellow Squash Frittata recipe from Food.com.;Breakfast;211.5;15.2;7.2;339.7;370.3;4.7;1.3;2.7;14.4
Yellow Squash Puffs;I have made this recipe a thousand times and we just love it.  It came up for adoption and I jumped on it.  Goes great with just about any main dish.;Vegetable;109.4;1.8;0.5;46.5;406.6;19.6;1.8;2.1;4.2
Sun-Dried Tomato Pesto;Make and share this Sun-Dried Tomato Pesto recipe from Food.com.;Vegetable;363.5;26.6;2.9;0.0;584.4;29.6;7.1;15.7;9.9
Sweet Potato-Pecan Pie;Make and share this Sweet Potato-Pecan Pie recipe from Food.com.;Dessert;323.0;19.6;6.9;70.3;178.9;35.0;1.9;17.3;3.8
Corn Salsa;This delightful corn salsa is a perfect salsa for dipping and can be used to boost flavor or garnish a southwestern meal.  Chilling time not included in preparation time.;Sauces;131.0;2.3;0.3;0.0;492.9;28.0;4.5;6.5;4.2
Sweet Potato Custard Pie;Make and share this Sweet Potato Custard Pie recipe from Food.com.;Dessert;239.7;12.2;4.4;64.2;339.0;27.6;2.1;8.1;5.4
Zesty Sweet Potato Pie;Make and share this Zesty Sweet Potato Pie recipe from Food.com.;Dessert;291.7;13.4;5.2;60.5;201.0;38.6;2.1;20.3;5.1
Avocado Salsa;Make and share this Avocado Salsa recipe from Food.com.;Sauces;205.7;14.3;2.1;0.0;293.9;20.6;7.7;1.9;3.6
Cocoa Espresso Cooler;Make and share this Cocoa Espresso Cooler recipe from Food.com.;Beverages;276.0;24.4;15.0;66.3;29.4;25.2;14.3;0.9;9.7
Iced Mochaccino Smoothie;Make and share this Iced Mochaccino Smoothie recipe from Food.com.;Smoothies;508.8;26.4;15.5;82.1;308.9;62.1;2.1;40.2;7.8
Iced Jazzberry Java;Make and share this Iced Jazzberry Java recipe from Food.com.;Beverages;204.0;13.1;8.1;44.4;33.5;20.4;1.4;16.4;2.5
Chocolate Coffee Ice Cream Soda;Make and share this Chocolate Coffee Ice Cream Soda recipe from Food.com.;Frozen Desserts;91.0;1.1;0.7;4.3;164.6;19.6;0.0;18.2;1.0
Very Chocolate Brownies;Make and share this Very Chocolate Brownies recipe from Food.com.;Bar Cookie;184.1;12.5;6.5;36.4;49.4;18.4;1.1;13.8;2.2
Balsamic Berry Salsa;"(These three salsas come from &quot;The Great Salsa Book&quot; by Mark Miller,  Mark Kiffin &amp; John Harrisson; this is a great collection of salsas . Since I  love  garlic, I love to fix up a batch of the Salsa Romana to enjoy with  tortilla chips instead of boring old Mexican-style salsa.) 
Balsamic Berry Salsa";Sauces;40.8;0.3;0.0;0.0;2.3;9.0;1.8;6.2;0.6
Moist Carrot and Raisin Walnut Loaf;Make and share this Moist Carrot and Raisin Walnut Loaf recipe from Food.com.;Dessert;312.2;15.8;6.2;53.3;104.8;40.4;2.2;22.0;4.8
Sliced Sweet Potato Pie;Make and share this Sliced Sweet Potato Pie recipe from Food.com.;Dessert;305.5;14.2;8.9;43.3;197.3;44.5;2.6;30.1;1.8
Chocolate and Vanilla Chip Biscotti;Make and share this Chocolate and Vanilla Chip Biscotti recipe from Food.com.;Dessert;74.0;2.5;1.4;14.9;39.7;11.8;0.4;6.4;1.4
Carrot and Orange Loaf;Make and share this Carrot and Orange Loaf recipe from Food.com.;Dessert;279.9;13.5;8.2;64.0;130.8;38.9;1.2;27.2;2.9
Linda'a Guadalajara - Style Burritos;Make and share this Linda'a Guadalajara - Style Burritos recipe from Food.com.;Lunch/Snacks;5890.2;215.8;86.7;541.8;12001.9;698.1;74.0;40.7;273.4
Double Chocolate Chunk Biscotti;Make and share this Double Chocolate Chunk Biscotti recipe from Food.com.;Dessert;96.9;4.9;2.9;17.4;48.2;12.8;0.9;6.3;1.8
Dreamy Blueberry Pie;Make and share this Dreamy Blueberry Pie recipe from Food.com.;Pie;423.1;21.1;12.7;65.4;755.0;52.4;1.9;13.9;8.0
Spaetzle - Hungarian;Various English spellings abound, but my Hungarian family has always pronounced this as shpetz-leh.  I prefer spaetzle topped with Chicken Paprikash or Beef Goulash (anything with lots of Hungarian paprika!!).;Hungarian;2944.5;21.6;5.8;558.0;243.0;573.4;20.2;2.6;96.3
Spaetzle - German;Make and share this Spaetzle - German recipe from Food.com.;German;372.6;12.3;6.3;182.4;415.2;50.8;1.7;0.5;13.2
Banana Marshmallow Ice Cream (Still-Freeze);Make and share this Banana Marshmallow Ice Cream (Still-Freeze) recipe from Food.com.;Frozen Desserts;4680.1;319.1;198.0;1175.4;608.6;458.5;11.9;326.8;33.8
Calzones;Make and share this Calzones recipe from Food.com.;Meat;255.0;26.8;11.1;37.5;9.8;0.0;0.0;0.0;3.1
Banana Ice Cream I;Make and share this Banana Ice Cream I recipe from Food.com.;Frozen Desserts;779.5;56.3;34.0;345.2;182.3;66.6;3.0;47.6;8.1
Iced Cafe Au Lait;Make and share this Iced Cafe Au Lait recipe from Food.com.;Beverages;79.4;4.5;2.8;17.1;66.0;5.7;0.0;0.0;4.2
Whole Wheat Calzone;Make and share this Whole Wheat Calzone recipe from Food.com.;Poultry;512.5;33.6;12.5;216.6;503.3;5.7;1.1;2.2;45.1
Creamy Iced Coffee;Make and share this Creamy Iced Coffee recipe from Food.com.;Beverages;64.6;0.1;0.0;0.0;19.1;15.9;0.0;15.7;0.3
Coffee Punch with Ice Cream Floats;Make and share this Coffee Punch with Ice Cream Floats recipe from Food.com.;Punch Beverage;240.4;19.5;12.1;69.3;49.3;15.6;0.5;13.3;2.5
Chicken and Sausage;Adopted recipe.This is an easy recipe.I used 6 chicken breast halves and 1 lb bulk Italian sausage and it worked out just fine.  I served it with rice. It reminded me slightly of an Asian dish. It was very good. I even liked the green peppers in it and I don't usually like green peppers.;Chicken Breast;169.9;10.5;3.2;31.5;530.6;7.7;0.9;3.9;11.3
M&M and Chocolate Chews;Make and share this M&M and Chocolate Chews recipe from Food.com.;Dessert;6541.0;339.8;208.0;1062.2;4351.3;858.5;29.0;626.7;61.1
Cafe Latte;Make and share this Cafe Latte recipe from Food.com.;Beverages;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
No-bake Honey Snacks;"--Adopted Recipe--Edited directions based on comments by the previous reviewer.  &quot;Cooking time&quot; is the 24 hour refrigeration time.";Bar Cookie;161.5;6.0;0.8;0.0;79.3;27.9;1.9;20.6;2.7
Frozen Cappuccino;Make and share this Frozen Cappuccino recipe from Food.com.;Beverages;3.6;0.3;0.2;0.0;29.0;0.0;0.0;0.0;0.2
Iced Coffee Cream;Make and share this Iced Coffee Cream recipe from Food.com.;Dessert;284.9;17.6;10.9;67.5;109.8;25.9;0.6;18.6;5.9
Moussaka;This recipe is not for the faint-hearted cook. It's very  good, and it takes a lot of work. Don't waste it on someone  who would be just as satisfied with steak and salad!  This recipe is sized for a large cake pan. If you cut the recipe in half it will  fit into an ordinary lasagna-size baking dish.  Approximate measurement OK for eggplant, tomato mixture.;Vegetable;367.1;22.6;12.3;119.7;287.6;27.2;5.7;6.5;13.5
Sweetened Iced Coffee;Make and share this Sweetened Iced Coffee recipe from Food.com.;Beverages;151.3;6.3;3.9;24.1;85.8;17.8;0.0;8.3;6.1
Fudgie-Wudgies;Make and share this Fudgie-Wudgies recipe from Food.com.;Dessert;281.8;13.9;3.8;34.9;148.6;37.9;2.0;25.5;4.6
Deluxe Brownies;Make and share this Deluxe Brownies recipe from Food.com.;Bar Cookie;291.1;17.7;8.6;55.2;140.7;32.8;2.5;22.4;4.7
Coffee Liqueur (Fake Kahlua);Make and share this Coffee Liqueur (Fake Kahlua) recipe from Food.com.;Beverages;704.0;0.1;0.0;0.0;24.6;122.6;0.0;118.1;1.2
Sour Cream Carrot Cake;Make and share this Sour Cream Carrot Cake recipe from Food.com.;Dessert;441.7;23.6;7.3;70.2;180.0;54.4;1.5;37.4;4.6
Instant Coffee Kahlua;Make and share this Instant Coffee Kahlua recipe from Food.com.;Beverages;4621.1;0.1;0.0;0.0;43.5;608.0;0.0;602.0;1.5
Linda's Tuna Burritos;Make and share this Linda's Tuna Burritos recipe from Food.com.;Lunch/Snacks;471.6;18.2;8.1;29.7;900.6;59.4;3.6;2.5;16.5
Cheesy Manicotti;Make and share this Cheesy Manicotti recipe from Food.com.;Manicotti;164.5;0.8;0.3;7.9;447.2;21.8;1.1;3.4;17.0
Pumpkin Bread Pudding with Raisin Nut Bread;Make and share this Pumpkin Bread Pudding with Raisin Nut Bread recipe from Food.com.;Dessert;438.5;28.8;16.6;185.2;293.7;38.0;1.4;19.7;8.2
Chili Non Carne;Make and share this Chili Non Carne recipe from Food.com.;Beans;185.4;2.2;0.4;0.0;734.2;33.4;11.5;8.4;10.4
Golden Apple Bars;This is my adopted recipe, They are a very good nice shortbread crust and the apple filling is great. I only used 1/2 cup brown sugar in with the apples as I used Gala apples. Perhaps with a less sweet apple you would use the 3/4 cup. I used the food processor to chop up 4 apples. I had about 2-1/2 cups apples. Between 2 to 3 cups would be fine.;Bar Cookie;100.1;3.2;1.5;9.0;51.7;17.1;0.5;10.1;1.1
Glazed Pineapple With Macadamia Nut Crunch;Make and share this Glazed Pineapple With Macadamia Nut Crunch recipe from Food.com.;Dessert;234.0;18.5;5.7;15.3;25.2;18.7;2.3;15.0;1.7
Apple-Cinnamon Bread Pudding;Make and share this Apple-Cinnamon Bread Pudding recipe from Food.com.;Dessert;210.1;8.1;4.0;88.4;153.7;29.5;2.5;16.5;6.1
Tomato Salad;Make and share this Tomato Salad recipe from Food.com.;Vegetable;106.1;1.0;0.1;0.0;17.9;24.1;3.7;4.7;3.8
Vidalia Onion, Tomato and Basil Salad;Make and share this Vidalia Onion, Tomato and Basil Salad recipe from Food.com.;Onions;237.2;19.7;5.7;24.2;238.8;5.9;1.2;3.1;10.1
Blue Mountain Blueberry Pie;Make and share this Blue Mountain Blueberry Pie recipe from Food.com.;Pie;155.8;3.2;0.6;0.0;70.7;32.9;2.0;26.2;1.0
Cherry-Pistachio Biscotti;Make and share this Cherry-Pistachio Biscotti recipe from Food.com.;Dessert;40.4;1.6;0.5;9.5;11.4;5.6;0.3;2.8;1.0
Orange Hazelnut Biscotti;Make and share this Orange Hazelnut Biscotti recipe from Food.com.;Dessert;91.3;3.8;0.5;11.8;64.0;13.0;0.6;5.9;1.8
Alaskan Blueberry Pie;Make and share this Alaskan Blueberry Pie recipe from Food.com.;Pie;259.5;9.1;2.8;3.8;131.1;44.4;2.0;29.6;1.8
Calzones II;Make and share this Calzones II recipe from Food.com.;European;289.5;14.5;7.7;56.2;876.0;17.9;0.4;0.5;21.5
Tamarillo Steak Casserole;Make and share this Tamarillo Steak Casserole recipe from Food.com.;New Zealand;198.1;9.3;3.8;45.5;75.4;12.1;1.6;1.6;16.0
Fha Chicken Chilies Casserole;Make and share this Fha Chicken Chilies Casserole recipe from Food.com.;Poultry;1078.3;54.6;23.7;177.8;2165.2;81.7;4.9;5.5;62.5
Apricot Chicken Casserole;Make and share this Apricot Chicken Casserole recipe from Food.com.;Chicken Thigh & Leg;298.9;13.0;3.5;118.3;880.9;14.3;1.9;5.5;29.8
Luscious Applesauce Bars;Make and share this Luscious Applesauce Bars recipe from Food.com.;Bar Cookie;122.7;5.1;3.1;21.5;118.6;18.5;0.4;11.2;1.1
Remarkable Rhubarb Bites;Make and share this Remarkable Rhubarb Bites recipe from Food.com.;Bar Cookie;148.4;4.6;1.1;7.8;82.9;25.9;0.5;17.4;1.4
English Sherry Trifle;This layered dessert is best presented in a clear glass bowl. It looks very  elegant but is so easy to prepare.  (An adopted recipe.  I have not prepared this particular version, myself, but I do love trifle.);Dessert;5527.5;238.5;136.2;2108.3;3757.8;744.8;22.4;481.2;85.6
"M&amp;m Super Snack Bars";"Make and share this M&amp;m Super Snack Bars recipe from Food.com.";Bar Cookie;143.0;7.2;1.2;11.6;143.7;18.3;0.8;10.0;1.9
Spice Scones;Make and share this Spice Scones recipe from Food.com.;Scones;23.6;1.3;0.4;0.0;1.3;2.9;0.0;2.6;0.0
Fruit Loop Cookies and Orange Icing;I adopted this recipe from Recipezaar in February 2005.  I made several changes based on the review posted by Jenna Marie.  I'm really happy with the changes I've made to the recipe.  These cookies are great with or without icing and would be perfect for a child's party.;Dessert;103.5;5.7;2.4;18.5;27.5;12.5;0.1;9.4;0.8
Gado Gado: Indonesian Salad;Make and share this Gado Gado: Indonesian Salad recipe from Food.com.;Indonesian;139.6;2.7;0.9;93.0;452.4;23.3;5.3;6.7;8.1
Greek Lemon Potatoes;Make and share this Greek Lemon Potatoes recipe from Food.com.;Potato;176.3;4.7;0.7;0.0;11.8;31.2;4.1;1.6;3.7
Pastitsio;Make and share this Pastitsio recipe from Food.com.;Greek;604.4;34.6;17.9;196.0;330.9;41.3;2.0;2.7;27.0
Summer Corn and Tomato Pasta;Make and share this Summer Corn and Tomato Pasta recipe from Food.com.;Corn;324.6;9.4;4.4;22.2;682.9;52.1;9.3;7.1;11.7
Lentil Dal;Make and share this Lentil Dal recipe from Food.com.;Lentil;376.4;3.4;0.6;0.0;313.3;72.0;12.5;4.3;14.3
Macadamia Nut Lemon Squares;Make and share this Macadamia Nut Lemon Squares recipe from Food.com.;Bar Cookie;234.6;12.2;3.9;33.4;54.3;29.5;1.5;20.5;3.2
Basic Crepes II;Make and share this Basic Crepes II recipe from Food.com.;Breakfast;100.1;4.5;2.5;52.7;74.6;11.0;0.3;0.1;3.6
Basic Crepes;Make and share this Basic Crepes recipe from Food.com.;Breakfast;102.3;4.4;2.3;62.2;59.3;11.4;0.3;0.1;3.9
Mississippi Mud Pie;Make and share this Mississippi Mud Pie recipe from Food.com.;Pie;1357.2;84.0;31.0;70.3;1341.3;139.0;4.7;94.2;18.6
Couscous Cakes With Tomato-Garlic Ragout;Make and share this Couscous Cakes With Tomato-Garlic Ragout recipe from Food.com.;Healthy;363.4;9.2;2.6;97.2;520.8;53.3;4.6;4.2;13.0
Galaktoboureko - Greek Custard Pastry;Make and share this Galaktoboureko - Greek Custard Pastry recipe from Food.com.;Dessert;582.9;18.5;9.7;149.7;408.2;92.2;1.5;51.2;12.4
Cappuccino Coffee Mix;Make and share this Cappuccino Coffee Mix recipe from Food.com.;Beverages;54.3;2.2;2.0;0.0;12.4;8.0;0.1;6.8;0.7
Frosty Latte Smoothie;Make and share this Frosty Latte Smoothie recipe from Food.com.;Smoothies;96.1;1.2;0.8;4.9;30.6;20.3;0.0;20.5;2.2
Whipped Cappuccino;Make and share this Whipped Cappuccino recipe from Food.com.;Beverages;252.8;6.7;4.2;26.0;107.2;42.9;0.0;41.6;6.4
Spanakopita;Make and share this Spanakopita recipe from Food.com.;Vegetable;695.0;48.9;28.4;297.4;1180.2;44.9;6.7;4.0;23.4
Dublin Coddle II;Make and share this Dublin Coddle II recipe from Food.com.;Pork;536.2;32.6;10.8;119.9;2023.5;24.9;3.1;2.5;35.2
Maple Salmon;Serve wilted  spinach, roasted new potatoes and a glass of stout or full bodied Chardonnay,  like Cave Spring or Penfold's Koonunga Hill.;High Protein;561.8;14.1;2.6;146.3;2255.8;37.2;0.3;32.3;69.0
Irish Dark Soda Bread;Make and share this Irish Dark Soda Bread recipe from Food.com.;Quick Breads;158.4;0.8;0.3;1.5;267.5;32.5;2.5;3.6;5.7
Fire Ant Mound;Make and share this Fire Ant Mound recipe from Food.com.;Dessert;7761.9;504.5;269.8;1281.0;7961.6;754.9;16.5;533.9;88.5
Seared Salmon with Horseradish Tomato Vinaigrette;Make and share this Seared Salmon with Horseradish Tomato Vinaigrette recipe from Food.com.;Summer;797.3;38.2;8.0;156.5;823.9;36.2;3.1;9.4;71.3
Apricot Chicken With Pasta;Make and share this Apricot Chicken With Pasta recipe from Food.com.;Chicken Breast;1213.5;30.0;7.2;260.8;138.7;173.5;11.8;25.9;62.3
Luscious Apricot Squares;"I adopted this recipe late 2005 and finally made it in February 2006.  I haven't changed a thing as it is great the way it is written. 
This slice has a shortcake like base with a cake-like apricot caramel top.  Goes well with a dollop of whipped cream on top for a treat or dessert or leave plain and enjoy. :)";Bar Cookie;199.5;8.9;4.1;38.5;111.9;28.6;0.9;19.5;2.7
Drop Scones;Make and share this Drop Scones recipe from Food.com.;Scones;370.3;10.4;3.2;423.0;771.0;50.1;1.3;13.5;17.4
English Trifle;I love trifle, and here's a slightly different version.  Once you've made and enjoyed trifle, there's a good chance you'll want to get a pretty trifle bowl just to make this attractive dessert!  A recipe adoption.;Dessert;347.8;20.5;12.0;173.2;206.1;33.8;0.3;11.7;6.4
Forepaughs English Trifle;This recipe from Forepaughs restaurant in St. Paul, Minnesota, a layered cake-and-berry specialty in its tall glass bowl, is a holiday show stopper.  Prep time is approximate and includes chilling.  (This is an adopted recipe.  I have not prepared this particular version of trifle.);Dessert;874.5;41.2;21.2;310.0;197.7;116.0;23.5;67.5;13.6
Best 7-Up Pound Cake;Make and share this Best 7-Up Pound Cake recipe from Food.com.;Dessert;1125.1;52.4;25.1;236.3;335.5;152.3;1.7;103.9;12.0
Italian Sausage Soup;Make and share this Italian Sausage Soup recipe from Food.com.;Pork;506.7;22.2;7.4;43.8;1698.5;44.8;4.2;13.2;22.6
Olive Garden Pasta E Fagioli;Make and share this Olive Garden Pasta E Fagioli recipe from Food.com.;European;506.2;18.9;6.5;80.4;1709.4;52.8;11.2;14.9;31.6
Glazed Apples With Cream Sauce;Make and share this Glazed Apples With Cream Sauce recipe from Food.com.;Dessert;646.6;39.9;24.8;127.3;164.7;78.3;6.9;65.3;2.3
Tomato and Herb Salad;Make and share this Tomato and Herb Salad recipe from Food.com.;Vegetable;34.5;0.3;0.1;0.3;113.2;7.2;1.4;4.4;1.9
Katjang Sauce: Peanut Sauce;Make and share this Katjang Sauce: Peanut Sauce recipe from Food.com.;Sauces;1095.5;88.8;18.9;6.4;817.1;48.5;12.0;20.8;46.0
Colcannon;Make and share this Colcannon recipe from Food.com.;Vegetable;311.1;19.9;11.1;46.4;206.9;30.1;4.3;1.3;6.8
Amazing Nasi Goreng;Make and share this Amazing Nasi Goreng recipe from Food.com.;Long Grain Rice;430.5;16.4;3.3;13.2;312.4;60.2;4.3;4.2;10.4
Irish Soda Bread;Make and share this Irish Soda Bread recipe from Food.com.;Quick Breads;1551.8;6.4;2.3;12.2;3114.6;317.1;10.2;19.9;48.9
Butter Crepes;Make and share this Butter Crepes recipe from Food.com.;Breakfast;116.5;6.6;3.8;57.9;88.0;10.8;0.3;0.1;3.4
Couscous with Currants and Cumin;Make and share this Couscous with Currants and Cumin recipe from Food.com.;Southwest Asia (middle East);1045.2;11.1;1.6;0.0;38.9;213.2;18.4;63.9;27.9
Lemonade;Make and share this Lemonade recipe from Food.com.;Beverages;32.8;0.1;0.0;0.0;5.4;9.0;0.8;7.0;0.3
Quick Spanish Couscous Salad;Make and share this Quick Spanish Couscous Salad recipe from Food.com.;Spanish;442.6;0.8;0.2;0.0;13.8;91.3;6.3;1.1;15.2
Curried Peanut Shrimp;Make and share this Curried Peanut Shrimp recipe from Food.com.;Oranges;121.5;1.9;0.2;60.5;620.4;20.4;0.6;17.4;7.0
Dutch Split Pea Soup;Make and share this Dutch Split Pea Soup recipe from Food.com.;Dutch;556.4;39.2;13.0;75.5;1543.4;28.1;6.3;10.6;22.7
Macadamia Bars;Make and share this Macadamia Bars recipe from Food.com.;Bar Cookie;116.8;8.8;3.8;16.3;46.7;8.9;0.5;4.9;1.0
7-Up Cake;Make and share this 7-Up Cake recipe from Food.com.;Dessert;550.2;24.5;4.5;93.0;442.4;78.7;0.9;39.0;5.6
Macadamia and Coconut Bars;Make and share this Macadamia and Coconut Bars recipe from Food.com.;Bar Cookie;180.0;12.5;6.5;27.4;60.8;16.6;1.7;10.7;2.1
Super Scones;Make and share this Super Scones recipe from Food.com.;Scones;273.4;12.6;7.7;49.4;530.2;36.1;1.5;11.3;4.9
Ginger Biscuits;Make and share this Ginger Biscuits recipe from Food.com.;Breads;1460.1;49.8;10.6;93.0;903.2;233.7;4.8;91.4;21.4
Mississippi Mud Pie II;Make and share this Mississippi Mud Pie II recipe from Food.com.;Pie;299.9;13.1;5.8;20.7;170.9;46.1;0.5;22.5;1.9
Mississippi Mud Cake;Make and share this Mississippi Mud Cake recipe from Food.com.;Dessert;462.1;26.3;11.4;111.2;260.1;51.8;2.6;34.3;7.5
Chicken Breasts in Phyllo;Make and share this Chicken Breasts in Phyllo recipe from Food.com.;Chicken Breast;1407.1;106.7;62.5;335.4;1900.3;66.0;3.7;7.1;47.1
Curried Beef and Chicken Satay;"Every country or region has at least one dish that becomes symbolic. For SE  Asia, symbolic foods would have to include satay. Popular in Malaysia,  Singapore and Indonesia, it's a great treat when served hot from a charcoal  grill. There are numerous ways of preparing this dish; the recipe below is  only one of them.";Poultry;1582.1;142.9;55.9;197.4;1620.4;32.1;7.0;14.9;51.2
Baked Alaska Salmon Fillet With Mustard Sauce;Make and share this Baked Alaska Salmon Fillet With Mustard Sauce recipe from Food.com.;Free Of...;613.9;35.1;13.3;217.9;272.3;3.5;1.0;0.4;64.3
Chicken Satay With Peanut Sauce;Make and share this Chicken Satay With Peanut Sauce recipe from Food.com.;Chicken Breast;174.4;6.5;1.3;52.8;231.6;5.5;0.5;4.2;23.1
Yummy and Comforting Chicken Tetrazzini;Though very easy, this is surprisingly good.  I have paired it with a salad and breadsticks.  Hopefully you enjoy it!;Chicken;377.3;23.1;12.9;56.4;746.8;26.7;1.4;3.0;16.2
Garlicky Baked Chicken Marinade;Make and share this Garlicky Baked Chicken Marinade recipe from Food.com.;Weeknight;200.7;18.1;2.8;7.6;508.0;10.2;0.0;4.3;0.4
Apple or Crabapple Jelly;Make and share this Apple or Crabapple Jelly recipe from Food.com.;Jellies;205.8;0.4;0.1;0.0;2.3;54.0;5.5;46.2;0.6
